,abstract,affiliation,authors,paper_type,subject,title
78,"The current project describes the design of a tuning or alignment processor for a system based on multiple satellite speakers and a single subwoofer. It explains the methodology used to solve this problem and the procedure to arrive to a viable solution. On one side, the procedure was based on filter design techniques to optimize phase relationships; however, these phase relations are often unknown due to the possibility of changing the relative positions of the speakers. Accordingly, a statistical analysis was used to determine the most stable set of parameters across different speaker locations and acoustical environments, implying that the same alignment parameters can be implemented in multiple circumstances without significant performance degradation.","['Stanford University, Stanford, CA, USA', ' Meyer Sound Laboratories, Berkeley, CA, USA(See document for exact affiliation information.)']","['Sierra, Juan', ' Kamrava, Jonathan', ' Espinosa, Pablo', ' Arneson, Jon M.', ' Kohut, Paul']",Talk,Signal Processing,Statistical and Analytical Approach to System Alignment
79,"Virtual reality technology incorporating six degrees-of-freedom introduces new challenges for the evaluation of audio quality. Here, a real-time “online” evaluation platform is proposed, allowing multiple stimulus comparison of binaural renderers within the virtual environment, to perceptually evaluate audio quality. To evaluate the sensitivity of the platform, tests were conducted using the online platform with audiovisual content, and two traditional platforms with pre-rendered “off-line” audiovisual content. Conditions employed had known relative levels of impairments. A comparison of the results across platforms indicates that only the proposed online platform produced results representative of the known impaired audio conditions. Off-line platforms were found to be not sufficient in detecting the tested impairments for audio as part of a multi-modal virtual reality environment.","['International Audio Laboratories Erlangen, Erlangen, Germany']","['Robotham, Thomas', ' Rummukainen, Olli', ' Herre, Jürgen', ' Habets, Emanuël A. P.']",Talk,Spatial Audio,Online vs. Offline Multiple Stimulus Audio Quality Evaluation for Virtual Reality
80,"The complex mutual interaction between human visual perception and hearing demands combined examinations of 360° video and spatial audio systems for Virtual Reality (VR) applications. Therefore, we present a joint audio-visual end-to-end chain from spatial recording to immersive reproduction with full rotational three degrees of freedom (3DOF). The audio-subsystem is based on Higher Order Ambisonics (HOA) obtained by Spherical Microphone Array (SMA) recordings, while the video is captured with a 360° camera rig. A spherical multi-loudspeaker setup for audio in conjunction with a VR head-mounted video display is used to reproduce a scene as close as possible to the original scene with regard to the perceptual modalities of the user. A database of immersive content as a basis for future research in spatial signal processing was set up by recording several rehearsals and concerts of the Aachen Symphony Orchestra. The data was used for a qualitative assessment of the eligibility of the proposed end-to-end system. A discussion shows the potential and limitations of the approach. Therein, we highlight the importance of coherent audio and video to achieve a high degree of immersion with VR recordings.","['RWTH Aachen University, Aachen, Germany']","['Kentgens, Maximillian', ' Kühl, Stefan', ' Antweiler, Christiane', ' Jax, Peter']",Talk,Spatial Audio,From Spatial Recording to Immersive Reproduction—Design & Implementation of a 3DOF Audio-Visual VR System
81,"Current feedback is a versatile method of modifying the behavior of a loudspeaker driver, with opportunity for linearization and matching the driver to the enclosure design targets, but depending on the chosen approach a potential risk of increasing the effects of either voice coil impedance variation or driver mechanical parameter nonlinearity. This work compares using a nonlinear simulation model various forms of current feedback, including current drive, finite positive or negative amplifier resistances, and negative resistance combined with a reactance.","['Huawei Technologies, Tampere, Finland', ' Genelec Oy, Iisalmi, Finland(See document for exact affiliation information.)']","['Backman, Juha']",Talk,Transducers,Comparison of Dynamic Driver Current Feedback Methods
82,A framework is presented that employs the space-time coherence properties of acoustic wavefields to compute features corresponding to listener percepts in binaural localization. The model employs a short-time windowed cross-correlator to compute a sequence of interaural time differences (ITDs) from the binaurally-sampled acoustic wavefield. The centroid of the distribution of this sequence of measurements indicates the location of the virtual acoustic source and the width determines the perceived spatial extent of the source. The framework provides a quantitative method to objectively assess the performance of various free-space and headphone-based spatial audio rendering schemes and thus may serve as a useful tool for the analysis and design of spatial audio experiences in VR/AR and other spatial audio systems.,"['University of Rochester, Rochester, NY, USA']","['Bocko, Mark F.', ' Crawford, Steven', ' Heilemann, Michael']",Talk,Spatial Audio,Prediction of Binaural Lateralization Percepts from the Coherence Properties of the Acoustic Wavefield
83,"In this work we propose a deep learning based method—namely, variational, convolutional recurrent autoencoders (VCRAE)—for musical instrument synthesis. This method utilizes the higher level time-frequency representations extracted by the convolutional and recurrent layers to learn a Gaussian distribution in the training stage, which will be later used to infer unique samples through interpolation of multiple instruments in the usage stage. The reconstruction performance of VCRAE is evaluated by proxy through an instrument classifier and provides significantly better accuracy than two other baseline autoencoder methods. The synthesized samples for the combinations of 15 different instruments are available on the companion website.","['Tampere University of Technology, Tampere, Finland']","['Çakir, Emre', ' Virtanen, Tuomas']",Talk,Signal Processing,"Musical Instrument Synthesis and Morphing in Multidimensional Latent Space Using Variational, Convolutional Recurrent Autoencoders"
84,"This paper reports a study conducted with 10 blind and 8 sighted participants using a prototype system for communicating multiple information streams concurrently, using 2 methods of presentation. The prototype system in method one played two continuous voice-based articles diotically, differing by voice gender and content. In the second method, prototype communicated one continuous article in the female voice and three headlines as interval-based short interruptions in a male voice dichotically. In this investigation the continuous method remained more effective in communicating multiple information compared to the interval-based interruption method, and also the users who possessed at least tertiary qualification performed better in comprehending the multiple concurrent information than the non-tertiary qualified users.","['University of Technology Sydney, Sydney, NSW, Australia', ' Quaid-i-Azam University, Islamabad, Pakistan(See document for exact affiliation information.)']","['Abu ul Fazal, Muhammad', ' Ferguson, Samuel', ' Karim, Muhammad Shuaib', ' Johnston, Andrew']",Talk,Applications in Audio,Concurrent Voice-Based Multiple Information Communication: A Study Report of Profile-Based Users' Interaction
85,"Acoustic Source Localization and Speaker Tracking are continuously gaining importance in fields such as human computer interaction, hands-free operation of smart home devices, and telecommunication. A set-up using a Steered Response Power approach in combination with high-end professional microphone capsules is described and the initial processing stages for detection angle stabilization are outlined. The resulting localization and tracking can be improved in terms of reactivity and angular stability by introducing a Convolutional Neural Network for signal/noise discrimination tuned to speech detection. Training data augmentation and network architecture are discussed; classification accuracy and the resulting performance boost of the entire system are analyzed.","['Stuttgart Media University, Stuttgart, Germany', ' Eberhard Karls University Tübingen, Tübingen, Germany(See document for exact affiliation information.)']","['Ziegler, Jonathan D.', ' Koch, Andreas', ' Schilling, Andreas']",Talk,Semantic Audio,Speech Classification for Acoustic Source Localization and Tracking Applications Using Convolutional Neural Networks
86,"Music streaming platforms dominate the contemporary music industry. Through such platforms for a fixed monthly fee, or even for free, listeners get access to a huge online music database. In recent years many platforms have been created and they currently compete with each other. They offer different subscription prices, sound quality, and service ranges. This paper presents a comparison of the technical parameters and an auditory assessment of the differences between selected streaming platforms. A listening test containing diversified sound material was carried out using the ABX method (3IFC - 3 interval stimulus with forced choice and hidden reference). Over 50 subjects participated in the listening test. After basic statistical analysis, the results were presented in graphical form.","['AGH University of Science and Technology, Krakow, Poland']","['Malecki, Pawel', ' Czopek, Dorota', ' Sochaczewska, Katarzyna']",Poster,Applications in Audio,Music Streaming Platforms—Quality and Technical Comparison
87,"A pragmatic approach to 3D sound design is described that employs a minimum number of sound fields captured with tetrahedral microphones. The captured sound fields, each extended in a horizontal and vertical dimension, are combined to provide the essential segments of the entire 360° sound design. Supplemental single-capsule microphones are used as needed for balancing of spaciousness and clarity. A compatible scaling of sound design from 3D to 2D can be easily accomplished without distortion of timbre or space.","['McGill University, Montreal, QC, Canada', ' New York University, New York, NY, USA(See document for exact affiliation information.)']","['Woszczyk, Wieslaw', ' Geluso, Paul']",Talk,"Live Sound, Recording, and Production",Streamlined 3D Sound Design: The Capture and Composition of a Sound Field
88,"Variances in the parts and uncertainties in the assembling process degrade the performance and the reliability of the manufactured devices. Defective units increase the manufacturing cost if detected during end-of-line testing or increase the after-sales cost if an undetected failure occurs in the field. This paper addresses the role of end-of-line testing to reduce both kinds of failures and to maximize the performance/cost ratio as seen by the end-user. The selection of sensitive and fast measurements, which can be performed under manufacturing conditions, is the basis for the PASS/FAIL classification. The paper shows that optimal production limits used in EoL-testing minimize the overall cost by considering a clear product definition, information from the particular design, statistical data from manufacturing process and traceability of the field rejects. The general concept presented here is illustrated using practical examples from automotive and other applications.","['Klippel GmbH, Dresden, Germany']","['Klippel, Wolfgang']",Talk,Transducers,Minimizing Costs in Audio Devices through Efficient End-of-Line Testing
89,"This paper discusses a newly designed educational tool called “Match Your Own Voice!,” which aims at complementing modern vocal pedagogy. The software addresses the perceptual challenges faced by aspiring singers and the need for more objective unsupervised practice methods and quantified reference points to guide students through their training course. The tool is a real-time visual feedback application that uses lessons with a professional vocal coach as a reference for the students’ unassisted practice guidance. It is designed for use on portable computers. The conducted longitudinal study evaluating the tool’s effect on the students’ practice accuracy showed promising results.","['National and Kapodistrian University of Athens, Athens, Greece']","['Angelakis, Evangelos', ' Kosteletos, George', ' Andreopoulou, Areti', ' Georgaki, Anastasia']",Talk,Audio Education,Development and Evaluation of an Audio Signal Processing Educational Tool to Support Somatosensory Singing Control
90,"At the core of spatial audio renderers are the HRTF filters that are used to virtually place the sounds in space. There are different ways to calculate these filters, from acoustical measurements to digital calculations using images. In this paper we evaluate the localization of elevated sources using four different HRTF datasets. The datasets used are SADIE (York University), Kemar (MIT), CIPIC (UC Davis), and finally, a personalized dataset that uses an image-capturing technique in which features are extracted from the pinnae. Twenty subjects were asked to determine the location of randomly placed sounds by selecting the azimuth and the elevation from where they felt the sound was coming from. It was found that elevation accuracy is better for HRTFs that are located near elevation = 0°. There was a tendency to under-aim and over-aim towards the area between 0° and 20° in elevation. A high impact of elevation in azimuth location was observed in sounds placed above 60°.","['THX Ltd., San Francisco, CA, USA']","['Flanagan, Patrick', ' Calle Benitez, Juan Simon']",Talk,Perception,Localization of Elevated Virtual Sources Using Four HRTF Datasets
91,"This paper presents practical spatial audio recording techniques for capturing live music performances for reproduction in a six-degrees of freedom (6DOF) virtual reality (VR) framework. The end-goal is to give the listener the ability to move close to or even around musical sources with a high degree of plausibility to match the visuals. The recording workflow facilitates three major rendering schemes–object-based using spot microphones and diffuse field capture microphone arrays, Ambisonics with multiple-placed sound-field microphones, and hybrid approaches that utilize the prior two methods. The work is presented as a case-study where a jazz ensemble is recorded at Studio 3 of Abbey Road Studios London using the proposed techniques.","['University of York, York, UK', ' Abbey Road Studios, London, UK(See document for exact affiliation information.)']","['Rivas Méndez, David', ' Armstrong, Calum', ' Stubbs, Jessica', ' Stiles, Mirek', ' Kearney, Gavin']",Poster,Recording and Production,Practical Recording Techniques for Music Production with Six-Degrees of Freedom Virtual Reality
92,"Horn directivity control and dispersion angles, especially at high frequency, have always been achieved by carefully design and optimized the horn’s surface. It can be experimentally demonstrated that the control properties of constant directivity, high-frequency horns may be influenced by the horn’s surface temperature which can be severely affected, for instance, by being exposed to direct sunlight. This e-brief presentation shows various experimental results that demonstrates the phenomenon and shows how much this problem can influence the directivity control at high frequency range.","['Rat Sound Systems, Camarillo, CA, USA', ' Contralto Audio srl, Parma, Italy(See document for exact affiliation information.)']","['Levine, Dave ""Rat""', ' Calza, Paolo', ' Di Cola, Mario', ' Martignon, Paolo', ' Chisari, Letizia']",Talk,Transducers,Influence of Horn's Surface Temperature on its Directivity Control
93,This paper presents a Blind Source Separation (BSS) algorithm proposed to work into a multi-node network. It is intended to be used indoors as an improvement to overcome some limitations of classical BSS algorithms. The goal is to improve the quality of the speech sources combining the signals of the same source separated from the different nodes located in the room. The algorithm matches the signals belonging to the same source through cross-correlations. It provides some stability to the quality of the separated sources since it takes advantage of the fact that the sources are likely to be correctly separated in some nodes.,"['University of Alcalá, Alcalá de Henares, Madrid, Spain']","['Clares-Crespo, César', ' García-Gómez, Joaquín', ' Fernández-Toloba, Alfredo', ' Gil-Pita, Roberto', ' Rosa-Zurera, Manuel', ' Utrilla-Manso, Manuel']",Talk,Acoustics and Signal Processing,Combining the Signals of Sound Sources Separated from Different Nodes after a Pairing Process Using an STFT-Based GCC-PHAT
94,"Spatial audio is becoming increasingly important in media production since the availability of adequate distribution channels and budget hardware for production and consumer side playback is increasing likewise. To not only provide a studio for the production of spatial audio content, but also accommodate research on immersive media, a novel facility has been implemented at Hamburg University of Applied Sciences (HAW). The “Immersive Audio Lab” comprises a 33.2 High Density Loudspeaker Array (HDLA) suitable for a diverse set of spatial audio coding formats including HOA, complemented with VR technology and a broadband tracking system.","['Hamburg University of Applied Sciences, Hamburg, Germany']","['Kessling, Philipp', ' Görne, Thomas']",Poster,Spatial Audio,Studio for Immersive Media Research and Production: Immersive Audio Lab at HAW Hamburg
95,"This paper presents an arti?cial reverberation system for automotive applications. The core reverberation algorithm is based on a time-variant all-pass ?lter and delay network. It supports an arbitrary number of de-correlated ambience channels and enables the creation of individual direction-dependent early re?ection patterns for each output channel. Incorporating de-reverberation technology and microphones, the system allows for 3D direct-ambience upmixing of stereo content simulating the acoustics of existing concert halls as well as for actively modifying and improving the acoustics of car interiors. Ambisonics measurements of real rooms and concert halls serve as starting point for designing the virtual rooms. Adaptive effect stabilization guarantees a consistent spatial impression in presence of masking driving noise.","['Harman Becker Automotive Systems GmbH, Munich, Germany']","['von Türckheim, Friedrich', ' von dem Knesebeck, Adrian', ' Münch, Tobias']",Talk,Applications in Audio,Virtual Venues—An All-Pass Based Time-Variant Artificial Reverberation System for Automotive Applications
96,"The channel based 3D audio can be compressed to a down-mix signal with side information. In this paper the inter-channel transfer functions (ITF) are estimated through training over fitting convolutional neural networks (CNN) on a specific frame. Perfectly reconstructing the original channel and keeping the spatial cues the same is set as the target of the estimation. By taking this approach, more accurate spatial cues are maintained. The subjective evaluation experiments were carried out on stereo signals to evaluate the proposed method.","['Peking University, Beijing, China']","['Huang, Qingbo', ' Wu, Xihong', ' Qu, Tianshu']",Talk,Spatial Audio,A Parametric Spatial Audio Coding Method Based on Convolutional Neural Networks
97,"Two of the main nonlinearities in the electrodynamic loudspeaker are the position dependence of the force factor, Bl, and the voice coil inductance, Le. Since they both are determined by the geometry of the motor structure, they cannot be independent. This paper investigates this dependence both analytically and via FEM simulations. Under certain simplifying assumptions the force factor can be shown to be proportional to the spatial derivative of the inductance. Using FEM simulations the implications of this relation is illustrated for drivers with more realistic geometry and material parameters.","['Technical University of Denmark, Kgs. Lyngby, Denmark']","['Agerkvist, Finn T.', ' Heuchel, Franz']",Talk,Transducers,On the Interdependence of Loudspeaker Motor Nonlinearities
98,"Lateralization in stereo-rendered acoustic fields with controlled interchannel cross-correlation properties was explored in subjective listening tests. Participants indicated the perceived lateral locations of a series of 2 ms stereo white noise bursts with specified interchannel cross-correlation properties. Additionally, participants were asked to indicate the spatial location and apparent source width of a series of 2 sec white noise bursts composed of one-thousand 2 ms bursts with specified interchannel cross-correlation. The distribution of peak locations in the signals’ cross-correlation corresponds to the perceived spatial extent of the auditory image. This illustrates the role of the averaging time in the short-time windowed cross-correlation model of binaural hearing and how the coherence properties of audio signals determine source image properties in spatial audio rendering.","['University of Rochester, Rochester, NY, USA']","['Crawford, Steven', ' Heilemann, Michael', ' Bocko, Mark F.']",Talk,Perception,Perception of Stereo Noise Bursts with Controlled Interchannel Coherence
99,"This Engineering Brief charts the story of user-interactivity with recorded music. Audio technologies and creative compositional techniques are discussed with particular regard to scenarios where creativity has driven the demand for technological advance, and vice-versa, where technical advance has enabled new creative-practice approaches. This is contextualized through discussion of relevant implementation in legacy systems, mobile applications, video games, artificial intelligence, and extended realities. In identifying seminal applications of music interactivity from the past and linking them to present capabilities and practices, future trajectories for interactive recorded-music are extrapolated.","['London College of Music, University of West London, London, UK', ' University of Westminster, London, UK(See document for exact affiliation information.)']","['Paterson, Justin', ' Toulson, Rob']",Talk,"Live Sound, Recording, and Production","Interactive Recorded Music: Past, Present, and Future"
100,"In previous studies [1–3], we presented two statistical models that predict listeners’ sound quality preferences of headphones based on deviations in their measured frequency response. In this paper the models are applied to 156 different consumer and professional headphones that include a wide range of brands, prices, and headphone categories (e.g., in-ear, on-ear, and around-ear). The goal was to gain a better understanding of how these factors influence the subjective and objective performances of the headphone. The predicted preference ratings of the headphones were compared to ratings given by five different headphone review organizations to determine their correlation. Headphones designed to the current IEC/ITU/EBU standards produce significantly lower sound quality ratings.","['Harman International Inc., Northridge, CA, USA']","['Olive, Sean', ' Khonsaripour, Omid', ' Welti, Todd']",Talk,Transducers,A Survey and Analysis of Consumer and Professional Headphones Based on Their Objective and Subjective Performances
101,"The MPEG-H 3D Audio standard applies singular value decomposition (SVD) to higher-order ambisonics data, and divides the outcome into prominent and ambient sound components, which are then separately encoded. We recently showed that significant compression gains are achievable by moving the SVD to the frequency domain, and ensuring smooth transition between frames. Frequency domain SVD also enables SVD adaptation to frequency, but the increase in side information, to specify additional basis vectors, compromises the gains. This paper overcomes this shortcoming by introducing backward adaptive estimation of SVD basis vectors, at no cost in side information, thereby approaching the full potential of frequency domain SVD. Objective and subjective tests show considerable gains that validate the effectiveness of the proposed approach.","['University of California Santa Barbara, Santa Barbara, CA, USA']","['Zamani, Sina', ' Rose, Kenneth']",Talk,Spatial Audio,Spatial Audio Coding with Backward-Adaptive Singular Value Decomposition
102,"In this preliminary study, sound dosimetry measurements were conducted at film studios to assess whether audio post-production engineers are at risk for sound-induced hearing loss. Additionally, we measured 23 engineers’ hearing thresholds and assessed their self-perception of hearing disorders via a new questionnaire. Our results show that most participants had at least one audiometric notch, which is an early indicator of noise-induced hearing loss, and most reported experiencing hearing disorders such as tinnitus. Dosimetry suggested that sound levels pose a low risk of permanent hearing loss according to NIOSH criteria, but these criteria are not protective for disorders such as tinnitus, cochlear synaptopathy or even early threshold shifts. We recommend routine hearing evaluations and the use of hearing protection to maintain healthy hearing.","['City University of New York, New York, NY, USA']","['Sinnott, Laura', ' Weinstein, Barbara']",Talk,Recording and Production,Risk of Sound-Induced Hearing Disorders for Audio Post Production Engineers: A Preliminary Study
103,"Optimal design of acoustic loudspeaker design elements, such as waveguides and phase plugs, often requires extensive experience by the designer. Numerical simulations and optimization algorithms can aid in reducing the design-test-optimize cycle that is traditionally applied. A general mathematical framework for numerical optimization techniques is introduced and three algorithms of design optimization are reviewed: parameter optimization, shape optimization, and topology optimization. This paper highlights strengths and drawbacks of each method with the use of real-world design of a waveguide and two phase plugs. Where possible, the results are confirmed with prototypes and measurements. The work shows that excellent results can be achieved in just one design iteration with the help of numerical optimization methods.","['Samsung Research America, Valencia, CA USA']","['Bezzola, Andri']",Talk,Transducers,Numerical Optimization Strategies for Acoustic Elements in Loudspeaker Design
104,"The evaluation of object-based audio reproduction methods in a real-world context remains a challenge as it is difficult to separate the effects of the reproduction system from the effects of the audio mix rendered for that system. This is often compounded by the absence of explicitly-defined reference or anchor stimuli. This paper presents a perceptual evaluation of five spatial audio reproductions including Media Device Orchestration (MDO) in which a stereo mix is augmented by four additional loudspeakers. The systems are evaluated using the Multi-Stimulus Ideal Profile Method (MS-IPM), in which an assessor’s preferred value of each perceptual attribute is recorded in addition to their ratings of the systems. Principal Component Analysis was used to gain insight into the perceptual dimensions of the stimulus set and to investigate if the real systems overlap with the ideal profile. The results indicate that perceptual envelopment is the dominating perceptual factor for this set of reproduction systems, and the ideal system is one of high-envelopment.","['University of Salford, Salford, UK', ' Force Technology, SenseLab, Hørsholm, Denmark', ' BBC R&D', ', Salford, UK(See document for exact affiliation information.)']","['Wilson, Alex', ' Cox, Trevor', ' Zacharov, Nick', ' Pike, Chris']",Talk,Perception,Perceptual Audio Evaluation of Media Device Orchestration Using the Multi-Stimulus Ideal Profile Method
105,"A lumped-parameter model of the Tapped Horn loudspeaker–a design where the loudspeaker driver radiates into the throat as well as the mouth of the horn simultaneously–is presented. The model enables the estimation of the far-field sound pressure response from the Thiele/Small parameters of the loudspeaker driver and an additional analytic two-port matrix representation of the Tapped Horn. Simulations, performed using the model for subwoofers, are compared to measurements from an actual loudspeaker.","['RWTH Aachen University, Aachen, Germany', ' Dolby Laboratories, McMahons Point, NSW, Australia', ' Dolby Laboratories, San Francisco, CA, USA(See document for exact affiliation information.)']","['Berzborn, Marco', ' Smithers, Michael']",Talk,Transducers,An Acoustic Model of the Tapped Horn Loudspeaker
106,"The introduction of the 48-volt phantom powering circuit in 1966 led to IEC 61938:1996. A key aspect of this powering circuit are the 6.81 k? precision resistors that are in parallel to the emitter-follower of the microphone preamplifier. These resistors act as a load on the emitter-follower that causes added distortion. A new approach is presented whereby, in series of these 6K8 resistors, an electronic circuit is placed that acts as a high input-impedance current source, which does not load the emitter-follower. By making this change, THD is decreased by 10 dB while also slightly improving the gain. Measurement results are presented comparing audio performance of a conventional 48-volt phantom power circuit and this new circuit along with circuit details.","['TritonAudio., Alkmaar, Netherlands.', ' Audio Precision, Beaverton, OR, USA(See document for exact affiliation information.)']","['Kist, Joost', ' Foley, Dan']",Talk,Transducers,Improving Audio Performance of Microphones Using a Novel Approach to Generating 48 Volt Phantom Powering
107,"This work investigates the perceptual accuracy of the ITU-Recommendation BS.1770 loudness algorithm when employed in a basic auto mixing system. Optimal filter parameters previously proposed by the author, which incorporate modifications to both the pre-filter response and the integration window sizes are tested against the standard K-weighted model and filter parameters proposed through other studies. The validation process encompassed two stages, the first being the elicitation of preferred mix parameters used by the mixing system and the subsequent generation of automatic mixes based on these rules utilizing the various filter parameters. A controlled listening test was then employed to evaluate the listener preferences to the completed mixes. It is concluded that the optimized filter parameter set based upon stem type, results in a more perceptually accurate automatic mix being achieved.","['University of Huddersfield, Huddersfield, West Yorkshire, UK']","['Fenton, Steven']",Talk,Recording and Production,Automatic Mixing of Multitrack Material Using Modified Loudness Models
108,"This paper presents how to optimize the power density of Class-D audio power amplifiers. The main task is to ensure that the ratio between the ripple current and the continuous output current is larger than one. When this is satisfied soft switching conditions are facilitated. Optimizing the amplifier power stage for soft switching while playing audio result in a more evenly distribution of the power dissipation between switching devices and filter inductors. Measured results on 150 Wrms test amplifiers equipped with eGaNFETs shows that the power density can reach 14.3 W/cm3, with THD+N levels as low as 0.03%. Moreover safe operating temperatures below 100°C when playing music with peaking powers of 200 W is achieved. Compared to state-of-the art, the power density of the amplifier module is improved with a factor 2–3.","['Technical University of Denmark, Kgs. Lyngby, Denmark']","['Petersen, Andreas Stybe', ' Iversen, Niels Elkjær', ' Andersen, Michael A. E.']",Talk,Transducers,High Power Density for Class-D Audio Power Amplifiers Equipped with eGaNFETs
109,"Personal devices with loudspeakers can be orchestrated to increase immersion from low channel count reproduction systems. A trial production was conducted to investigate the content creation work?ow and delivery mechanism for orchestrated devices. The content (a 13-minute science-?ction drama entitled “The Vostok-K Incident”) included: a stereo bed; elements only replayed from auxiliary devices; and elements that could either be in the stereo bed or replayed from auxiliary devices. A bespoke production environment was established, including plug-ins for authoring the metadata needed to utilize the rendering ruleset. Ambiguity in the reproduction system, coupled with ?exible and complex metadata authoring requirements, made the production challenging and time-consuming. Future work will focus on re?ning the production process and developing delivery tools.","['BBC Research and Development, Salford, UK', ' University of Salford, Salford, Greater Manchester, UK', ' Naked Productions, Manchester, UK(See document for exact affiliation information.)']","['Francombe, Jon', ' Woodcock, James', ' Hughes, Richard J.', ' Hentschel, Kristian', ' Whitmore, Eloise', ' Churnside, Tony']",Talk,"Live Sound, Recording, and Production",Producing Audio Drama Content for an Array of Orchestrated Personal Devices
110,"Loudness meters were created to standardize levels in broadcasting (radio and TV), to minimize differences between program level and commercial level. This standard is already used in several countries, but will it be useful for live sound? Will it allow for better mixing results in sound reinforcement situations? The following Engineering Brief aims to answer these questions and provide some considerations for loudness meters use in sound reinforcement.","['Universidad Tecnologica de Chile INACAP, Santiago de Chile, Chile']","['Becerra Benítez, Cristian Eduardo']",Talk,"Live Sound, Recording, and Production",Loudness Metering in Sound Reinforcement: Utilities and Practical Considerations
111,"Studies have shown that listeners can distinguish between hot and cold water being poured based solely on sonic properties, yet the cause of this is unknown. This acoustic perception of temperature is an interesting aspect of multisensory perception and integration. In this paper a series of experiments were performed to investigate the characteristics of auditory information when water is poured at different temperatures into various containers. Based on the results, it attempts to find physical and psychoacoustic explanations for the phenomenon.","['Tianjin University, Zhengzhou, China', ' Queen Mary University of London, London, UK(See document for exact affiliation information.)']","['Peng, He', ' Reiss, Joshua D.']",Talk,Applications in Audio,Why Can You Hear a Difference between Pouring Hot and Cold Water? An Investigation of Temperature Dependence in Psychoacoustics
112,"Binaural technology using a dummy-head is a powerful technique to provide realistic sound reproduction through headphones. To obtain the binaural signals as if a listener moves around in the sound field, we need to move the dummy head. To overcome this problem, it is a promising approach to convert signals observed by a microphone array into binaural signals at arbitrary positions. In this paper we aim to reproduce horizontal binaural signals at semi-arbitrary listener’s positions using linear microphone array signals based on the inverse wave propagation method with spatial over sampling and simulated head-related transfer function (HRTF) directivity pattern. We perform the computer simulation and listening experiments in a reverberant room. A listening test is performed for two cases to verify the performance of the sound localization (case-I) and distance perception (case-II). We con?rm that the binaural signals obtained by the proposed method are almost expressed by the HRTF directivity pattern. We find that the angle errors of sound localization is ranged from 1.2° to 4.2° from the results of case-I. According to the results of case-II, the subjects can perceive a distance change of the virtual sound image when the auditory stimulus is white noise","['University of Electro-Communications, Chofu-shi, Tokyo, Japan']","['Yamazato, Asuka', ' Haneda, Yoichi']",Talk,Spatial Audio,Horizontal Binaural Signal Generation at Semi-Arbitrary Positions Using a Linear Microphone Array
113,A prototype of a shotgun microphone having higher directivity than a conventional microphone has been developed to capture target sounds clearly. The shotgun microphone has a structure in which an acoustic tube is attached on a directional microphone capsule. The directivity pattern is formed by adjusting an acoustic resistor attached to orifices along the length of the tube. The prototype we developed has a 1-m long acoustic tube designed on the basis of a numerical calculation. It also includes additional microphone capsules and a digital signal processing circuit that reduce undesired acoustical signals arriving from directions other than the front. Measurements show that the developed shotgun microphone prototype achieves even higher directivity than conventional shotgun microphones.,"['NHK Science & Technology Research Laboratories, Setagaya-ku, Tokyo, Japan']","['Sasaki, Yo', ' Ono, Kazuho']",Talk,Transducers,Shotgun Microphone with High Directivity by Extra-Long Acoustic Tube and Digital Noise Reduction
114,"We are surrounded by a multitude of connected devices with microphones, the signal of which should be combined for best sound quality. Thus, we recently proposed a distributed speech and audio codec that decorrelates quantization noise applying randomization. In this paper this method is extended attenuating quantization noise using Wiener filtering at the decoder. We demonstrate that this approach can be used to jointly attenuate quantization noise and background noise present at the microphones. By using orthogonal randomization matrices, computational complexity can be minimized by separating the Wiener ?lter from the inverse randomization. Our evaluation shows that Wiener filtering in combination with a randomized distributed codec is an efficient method to attenuate background and quantization noise at the decoder.","['International Audio Laboratories Erlangen, Erlangen, Germany', ' Aalto University, Espoo, Finland(See document for exact affiliation information.)']","['Fischer, Johannes', ' Bäckström, Tom']",Poster,Applications in Audio,Noise Reduction for Randomized Speech and Audio Coding in WASNs
115,"The project aims to show the hardware and software of a solar powered autonomous node for wireless acoustic sensor networks based on ARM Cortex M4. The device consists of the following components: a microcontroller, four microphones for audio processing, a radio frequency communication module, a microSD to store and read data, four buzzers to emit a sound, a GPS, and a temperature sensor. Furthermore, the device can be powered by a battery or a solar panel. The device is characterized by low consumption and a small size.","['University of Alcalá, Alcalá de Henares, Madrid, Spain']","['Fernández-Toloba, Alfredo', ' Sánchez-Hevia, Héctor A.', ' Espino-Sanjosé, Rubén', ' Clares-Crespo, César', ' García-Gómez, Joaquín', ' Gil-Pita, Roberto']",Talk,Applications in Audio,Solar Powered Autonomous Node for Wireless Acoustic Sensor Networks Based on ARM Cortex M4
116,"We investigate sound field control based on the concept of sound zones for the mitigation of low frequency noise from outdoor concerts to the surrounding area by adding secondary loudspeakers to the existing primary sound system. The filters for the secondary loudspeakers are the result of an optimization problem that minimizes the total sound pressure level of both primary and secondary loudspeakers in a sensitive area and the impact of the secondary loudspeakers on the audience area of the concert. We report results from three different experiments with increasing complexity and scale. The sound field control system was reducing the sound pressure level in the dark zone on average by 10 dB below 1 kHz in a small scale experiment in anechoic conditions, by up to 14 dB in a controlled large scale open-air experiment and by up to 6 dB at a pilot test at a music festival.","['Technical University of Denmark, Kgs. Lyngby, Denmark']","['Heuchel, Franz', ' Caviedes Nozal, Diego', ' Agerkvist, Finn T.']",Talk,Acoustics and Live Sound,Sound Field Control for Reduction of Noise from Outdoor Concerts
